когда будет конец света,Q139274
сколько лет путину,Q7747
кто сыграл высоцкого в фильме спасибо что живой,Q934144; Q512
кто первым совершил беспосадочный перелет через Атлантику в одиночку,Q756479
когда пасха в 2012 году,Q21196
снилс что это,Q4443506
сколько грамм в столовой ложке,Q2002583
что такое спелеология,Q179132
что такое метафора,Q18534
сколько варить кукурузу,Q542456
что такое браузер,Q6368
когда день матери,Q47502
сколько байт в килобайте,Q79726
сколько серий в сериале великолепный век,Q176615
что такое эпитет,Q207869
что такое аккаунт,Q3604202
что случится 21 сентября 2012 года,Q17982151
что такое спам,Q83058
когда наступит весна,Q1312
что такое дружба,Q491
что такое сарказм,Q191035
где родился Наполеон,Q517
кто выиграл евровидение 2012,Q10161
кто является верховным главнокомандующим вооруженными силами великобритании,Q275482
когда была основана кнр,Q148
сколько лет жанне фриске,Q241382
что такое кодекс,Q922203
где жена путина,Q7747
когда был основан париж,Q90
когда переводят часы на зимнее время в россии,Q8026412; Q159
что такое синекдоха,Q190068
сколько варить яйца,Q93189
оферта что это,Q6501319
сколько дней в году,Q577
что такое торрент,Q133862
сколько лет селене гомес,Q83287
когда выйдет сумерки рассвет часть 2,Q60487
в каком году родилась Елизавета II,Q9682
когда родился Иван Грозный,Q7996
в каком году родился Николай II,Q40787
когда был основан Рим,Q220
сколько стоит почка,Q9377
когда выйдет 4 сезон дневники вампира,Q2701447
сколько стоит айфон 5,Q61504
когда был основан Санкт-Петербург,Q656
к какой династии принадлежит правящая ныне королева великобритании,Q81589
когда день учителя,Q188888
масоны кто они,Q41726
сколько калорий в банане,Q503
почему целую эпоху в истории великобритании принято называть викторианской,Q182688
фуагра что это,Q34807
как найти площадь прямоугольника,Q11500; Q209
сколько звезд на флаге сша,Q42537
сколько лет пугачевой,Q80510
что такое лизинг,Q192899
в каком году был первый крестовый поход,Q51649
на каком языке говорят в Голландии,Q55
сколько медалей завоевала российская сборная 2012,Q139685
когда весенние каникулы,Q1153162
коучинг что это,Q1104185
метафора что это,Q18534
в каком году родилась Екатерина I,Q15208
какие птицы использовались для игры в крокет устроенной червовой королевой,Q193387
какое место заняли бурановские бабушки евровидение 2012 в финале,Q10161; Q200203
саентология что это,Q131036
сколько стоит грамм золота,Q897
в каком году родился Нельсон,Q8023
в каких продуктах содержится белок,Q8054
кто это Клумпе-Думпе?,Q783947
в какой войне великобритания и россия были союзниками,"Q145, Q159"
на каком языке говорят в Бразилии,Q155
какой праздник в англии был запрещен некоторое время в период правления кромвеля,Q145; Q1445650
сколько лет медведеву,Q23530
сколько живут кошки,Q146
на каком языке говорят в Аргентине,Q414
кто победил в выборах 4 марта 2012 года,Q488814
какое растение считается символом дня святого патрика,Q181817
на каком языке говорят в Египте,Q79
в каком году началась война во Вьетнаме,Q8740
во сколько открывается метро в москве,Q5499
сколько стоит гривна в рублях,Q81893
что такое франшиза,Q171947
когда выйдет gta 5,Q17452
дежавю что это,Q158103
консалтинг что это,Q268626
в каком году родился Александр Невский,Q174044
в каком году началась война Алой и Белой розы,Q127751
кому из английских королей приписываются эти слова коня коня полцарства за коня,Q739941
фрилансер кто это,Q215279
сколько лет джастину биберу,Q34086
в каком дворце находится официальная резиденция британских монархов,Q42182
толерантность что это,Q183225
кто из королей был отцом принца героя повести м твена принц и нищий,Q869725
когда началась Столетняя война,Q12551
сколько планет в солнечной системе,Q544
сколько лет лере кудрявцевой,Q2165946
как найти площадь трапеции,Q11500; Q46303
когда сажать чеснок под зиму,Q23400
пьеса какого английского драматурга легла в основу мюзикла моя прекрасная леди,Q201215
во сколько недель уходят в декретный отпуск,Q328566
когда ребенок начинает сидеть,Q7569
кого родила кристина орбакайте,Q285330
что означает имя сергей,Q12902079
какая из колоний великобритании получила независимость последней,Q918240
когда троица в 2012 году,Q37090
кто был первым английским писателем получившим нобелевскую премию по литературе,Q37922
что такое электронная почта,Q9158
когда родился аристотель,Q868
что такое хостинг,Q5892272
как называлась перепись всех землевладений составленная при вильгельме 1,Q37594
гибернация что это,Q681126
сколько см в дюйме,Q218593
какого числа хэллоуин,Q251868
сколько стран в мире,Q7275
что такое культура,Q11042
мерчендайзер кто это,Q4291213
что такое фразеологизм,Q5551966
эзотерика что это,Q131505
кого родила оксана федорова,Q1623076
что такое роутер,Q5318
в каком графстве находилось поместье рода баскервилей из повести а.конан дойла,Q35610
когда начинается великий пост в 2012 году,Q82866
соборование что это,Q193770
какой должна быть температура в квартире?,Q11466
сколько букв в русском алфавите,Q187846
в каком административном округе боро лондона находится арка,Q211690; Q526804
сколько калорий в арбузе,Q38645
что такое маркетинг,Q39809
сколько недель в году,Q577
что такое эссе,Q35760
сколько лет мадонне,Q1744
сколько штатов в сша,Q30
сколько серий в сериале карпов,Q4215846
копирайтер кто это,Q624896
что такое логистика,Q177777
казантип где находится,Q7897647
что такое википедия,Q52
какой стиль был образцом для архитекторов вестминстерского дворца,Q62408
что такое орфограмма,Q4337237
какую из невымышленных стран посетил герой дж свифта гулливер,Q1068229
когда был основан вашингтон,Q61
действие какой из трагедий шекспира происходит в британии,Q41567
какова протяженность реки Нил,Q3392
что такое любовь определение,Q316
сколько серий в сериале обручальное кольцо,Q2817218
сколько лет жириновскому,Q200015
когда родился сергей безруков,Q473580
когда была продана Аляска,Q797
сколько стоит новый ваз 2105,Q4101854
где похоронен мухаммед,Q9458
кто написал картину сикстинская мадонна,Q328079
кто такой иван болотников,Q1524384
кто основал омск,Q898
когда был образован СССР,Q922203
когда день интернета,Q3394418
какого числа день города в самаре,Q894
Из каких административных районов состоит город Сочи?,Q39420
в какой океан впадает амазонка,Q3783
какие моря омывают кипр,Q644636
кто снимается в ханне монтане,Q126631
какой ученый впервые описал фагоцитоз,Q184726
где будет проводиться чемпионат мира по футболу 2018,Q170645
когда умер ясер арафат,Q34211
будет ли 7 сезон молокососов,Q17021012
на каком материке египет,Q79
сколько лет елене берковой,Q1275963
где запустили первую в мире аэс,Q1739453
как звали птичку из простоквашино,Q28133141
где родился граф дракула,Q3266236
сколько весит моника белуччи,Q81819